"obsNsubID"	"obsID"	"GenusSpecies"	"Genus"	"Species"	"status"	"subObsID"	"sppdens_inv"	"sppdens_nat"	"spperc_inv"	"spperc_nat"	"MeasID_3"	"MeasID_4"	"MeasID_5"	"MeasID_6"	"MeasID_7"	"MeasID_8"	"MeasID_9"	"MeasID_10"	"MeasID_11"	"MeasID_12"	"MeasID_13"	"MeasID_14"	"MeasID_15"	"MeasID_16"	"MeasID_17"	"MeasID_18"	"invAperc"	"natAperc"
"58"	58	12	"Elymus elymoides"	"Elymus"	"elymoides"	"N"	2	NA	NA	0	20	16.00103421525	NA	NA	NA	NA	NA	NA	NA	0.976440769	1.58787544486667	NA	0.633333333333333	NA	NA	13.9	NA	0	20
"59"	59	13	"Ailanthus altissima"	"Ailanthus"	"altissima"	"I"	1	NA	NA	NA	NA	NA	47.24	NA	NA	NA	5.37	NA	10.02	NA	2.89	0.05	NA	NA	NA	14.8232166666667	NA	50	0
"60"	60	13	"Ulmus minor"	"Ulmus"	"minor"	"N"	2	NA	NA	NA	NA	17.929082731	41.99	NA	NA	NA	4.91	NA	10.3	1.4117673855	2.78832372825	0.05	NA	NA	0.1576	22.4529835622222	29.8	50	100
"61"	61	14	"Robinia pseudoacacia"	"Robinia"	"pseudoacacia"	"I"	1	NA	NA	NA	NA	NA	29.41	NA	NA	NA	14.34	NA	21.07	1.9114346348	3.5275	0.07	NA	NA	NA	19.6248693896923	NA	50	0
"62"	62	14	"Fraxinus angustifolia"	"Fraxinus"	"angustifolia"	"N"	2	NA	NA	NA	NA	17.2140751062857	52.64	NA	NA	NA	6.03	NA	12.24	1.90374212688889	2.68283063017273	0.05	NA	NA	0.14895	15.8645467886522	16.6	50	100
"63"	63	15	"Microstegium vimineum"	"Microstegium"	"vimineum"	"I"	1	NA	NA	75	0	NA	80.77	NA	NA	NA	NA	NA	NA	NA	NA	1.04	NA	NA	NA	NA	NA	75	0
"64"	64	15	"Polygonum spp"	"Polygonum"	"spp"	"N"	2	NA	NA	NA	NA	26.2954640102941	45.11	NA	NA	NA	NA	NA	NA	1.81188545785	2.81149612837451	0.56	NA	NA	NA	27.4173318401792	NA	25	33.3333333333333
"65"	65	15	"Juncus spp"	"Juncus"	"spp"	"N"	3	NA	NA	NA	NA	42.613447229	NA	NA	NA	NA	NA	NA	NA	2.3357836954	1.84275933945526	0.758215	NA	1.65512707876231	NA	13.0812099304583	NA	25	33.3333333333333
"66"	66	15	"Carex spp"	"Carex"	"spp"	"N"	4	NA	NA	NA	NA	25.46776652175	NA	NA	NA	NA	NA	NA	NA	1.30280296814706	1.91586635699883	0.813938888888889	NA	1.99926137166667	NA	18.8201307335318	20.3	25	33.3333333333333
"67"	67	16	"Microstegium vimineum"	"Microstegium"	"vimineum"	"I"	1	NA	NA	70	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.84	NA	NA	1.84	NA	NA	NA	70	0
"68"	69	16	"Quercus spp"	"Quercus"	"spp"	"N"	3	NA	NA	NA	NA	23.2264758761585	59.7478260869565	101.955	NA	83.8835	NA	NA	NA	1.88883861208443	1.9137141967259	1.062	1.15580101851852	NA	0.202142844497608	11.2796027793589	13.5692307692308	20	25
"69"	70	16	"Fagus grandifolia"	"Fagus"	"grandifolia"	"N"	4	NA	NA	NA	NA	26.9	58.4666666666667	NA	NA	NA	NA	NA	NA	1.245705401	2.00685807033333	NA	1.37	NA	0.388333	18.9773123504	9.1	20	25
"70"	71	16	"Betula lenta"	"Betula"	"lenta"	"N"	5	NA	NA	NA	NA	27.9	58.6571428571429	NA	NA	NA	NA	NA	NA	1.85037273245946	2.69588888888889	0.842475	1.89	NA	0.906104486486486	22.6332967625	16.3	20	25
"71"	72	16	"Acer spp"	"Acer"	"spp"	"N"	6	NA	NA	NA	NA	25.4138241639524	66.1909090909091	NA	NA	NA	NA	NA	NA	1.13564357832955	1.90333629771647	NA	0.884244024793467	NA	0.358607	19.1842757840205	22.5	20	25
"72"	73	17	"Microstegium vimineum"	"Microstegium"	"vimineum"	"I"	1	NA	NA	10	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.48	NA	NA	1.48	NA	NA	NA	10	0
"73"	74	17	"Vaccinium spp"	"Vaccinium"	"spp"	"N"	2	2	10	NA	NA	26.6002492	NA	NA	NA	NA	NA	NA	NA	1.31329681614706	0.74	0.667116666666667	NA	0.74	0.6173345	13.7749562971041	12.1142857142857	16.6666666666667	20
"74"	75	17	"Quercus spp"	"Quercus"	"spp"	"N"	3	NA	NA	NA	NA	23.2264758761585	59.7478260869565	101.955	NA	83.8835	NA	NA	NA	1.88883861208443	1.9137141967259	1.062	1.15580101851852	NA	0.202142844497608	11.2796027793589	13.5692307692308	16.6666666666667	20
"75"	76	17	"Fagus grandifolia"	"Fagus"	"grandifolia"	"N"	4	NA	NA	NA	NA	26.9	58.4666666666667	NA	NA	NA	NA	NA	NA	1.245705401	2.00685807033333	NA	1.37	NA	0.388333	18.9773123504	9.1	16.6666666666667	20
"76"	77	17	"Betula lenta"	"Betula"	"lenta"	"N"	5	NA	NA	NA	NA	27.9	58.6571428571429	NA	NA	NA	NA	NA	NA	1.85037273245946	2.69588888888889	0.842475	1.89	NA	0.906104486486486	22.6332967625	16.3	16.6666666666667	20
"77"	78	17	"Acer spp"	"Acer"	"spp"	"N"	6	NA	NA	NA	NA	25.4138241639524	66.1909090909091	NA	NA	NA	NA	NA	NA	1.13564357832955	1.90333629771647	NA	0.884244024793467	NA	0.358607	19.1842757840205	22.5	16.6666666666667	20
"78"	79	18	"Berberis thunbergii"	"Berberis"	"thunbergii"	"I"	1	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.097027066	0.92	NA	NA	0.92	NA	12.8658606795962	21.3	20	0
"79"	81	18	"Quercus spp"	"Quercus"	"spp"	"N"	3	NA	NA	NA	NA	23.2264758761585	59.7478260869565	101.955	NA	83.8835	NA	NA	NA	1.88883861208443	1.9137141967259	1.062	1.15580101851852	NA	0.202142844497608	11.2796027793589	13.5692307692308	20	25
"80"	82	18	"Fagus grandifolia"	"Fagus"	"grandifolia"	"N"	4	NA	NA	NA	NA	26.9	58.4666666666667	NA	NA	NA	NA	NA	NA	1.245705401	2.00685807033333	NA	1.37	NA	0.388333	18.9773123504	9.1	20	25
