"Genus"	"MeasID_3"	"MeasID_4"	"MeasID_5"	"MeasID_6"	"MeasID_7"	"MeasID_8"	"MeasID_9"	"MeasID_10"	"MeasID_11"	"MeasID_12"	"MeasID_13"	"MeasID_14"	"MeasID_15"	"MeasID_16"	"MeasID_17"	"MeasID_18"
"121"	"Alopecurus"	18.5303292483333	NA	NA	NA	NA	NA	NA	NA	1.01092850233333	1.69193832145714	NA	NA	NA	NA	26.46789629675	NA
"122"	"Aloysia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.907311072	NA
"123"	"Alphitonia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.86	NA	NA	NA	NA	11.748241004	NA
"124"	"Alphonsea"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.686	NA	NA	NA	NA	NA	NA
"125"	"Alpine"	NA	NA	NA	NA	NA	NA	NA	NA	2.35555555555556	NA	NA	NA	NA	NA	NA	NA
"126"	"Alpinia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.413017865	NA
"127"	"Alseis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.0550530615	NA	NA	NA	NA	21.7034143525849	NA
"128"	"Alseodaphne"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.331	NA	NA	NA	NA	6.779813218	NA
"129"	"Alsophila"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35.714285714	NA
"130"	"Alstonia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.22493109	NA	NA	NA	NA	9.345794392	NA
"131"	"Alternanthera"	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.9	NA	NA	NA	NA	18.198933435	NA
"132"	"Althaea"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.778041958	NA
"133"	"Altingia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9685	NA	NA	NA	NA	NA	NA
"134"	"Alyssum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.1755839604737	NA
"135"	"Alyxia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.095	NA	NA	NA	0.88	7.936507936	NA
"136"	"Amaioua"	29.73875	NA	NA	NA	NA	NA	NA	NA	1.726266278	1.63875	NA	NA	NA	NA	14.4494007858696	NA
"137"	"Amanoa"	NA	NA	NA	NA	NA	NA	NA	NA	1.1	1.2499999996	NA	NA	NA	NA	11.36363636	NA
"138"	"Amaranthus"	NA	NA	NA	NA	NA	NA	NA	NA	1.52498792559375	3.06333333333333	NA	NA	NA	NA	21.7034152476591	NA
"139"	"Amblygonocarpus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.18	NA	NA	NA	NA	NA	NA
"140"	"Amblyopyrum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.375	NA
"141"	"Ambrosia"	19.3052123809524	NA	NA	NA	NA	NA	NA	NA	1.51618088170213	2.40732285762055	NA	1.505595	NA	NA	18.7917989299714	NA
"142"	"Amburana"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.4648593354	NA
"143"	"Amelanchier"	22.23840425	NA	NA	NA	NA	NA	NA	NA	1.5121801832	1.99831	NA	NA	NA	NA	13.4507635546857	21.1
"144"	"Amesiodendron"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.46	NA	NA	NA	NA	NA	NA
"145"	"Ammi"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.4433333333333	NA
"146"	"Ammocalamagrostis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.574	NA
"147"	"Ammophila"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.567504	NA	NA	NA	NA	6.62890909090909	NA
"148"	"Ammopiptanthus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.77	NA	NA	NA	NA	NA	NA
"149"	"Amomyrtus"	NA	NA	NA	NA	NA	NA	NA	NA	1.42	1.01	NA	NA	NA	NA	7.09	NA
"150"	"Amoora"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.81	NA	NA	NA	NA	NA	NA
"151"	"Amorpha"	20.3394902652174	NA	NA	NA	NA	NA	NA	NA	1.665904195	2.45034283786207	NA	3.344982	NA	NA	15.4113029205	NA
"152"	"Ampelocalamus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.89	NA	NA	NA	NA	NA	NA
"153"	"Ampelocera"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.333278975	NA
"154"	"Amphibolis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.597463768	NA
"155"	"Amphicarpa"	16.6807254888889	NA	NA	NA	NA	NA	NA	NA	0.623374636971831	2.7777	NA	NA	NA	NA	47.8012452005143	NA
"156"	"Amphilophium"	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.492087468	NA	NA	NA	NA	20.89674780055	NA
"157"	"Amphimas"	NA	NA	NA	NA	NA	NA	NA	NA	1.983333333	2.38	NA	NA	NA	NA	12	NA
"158"	"Amphipogon"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.91	NA
"159"	"Amphipterygium"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.446	NA
"160"	"Amphirrhox"	NA	NA	NA	NA	NA	NA	NA	NA	1.69	2.610597014725	NA	NA	NA	NA	14.92537313	NA
"161"	"Amphitecna"	NA	NA	NA	NA	NA	NA	NA	NA	1.218701202	1.42866666666667	NA	NA	NA	NA	12.051672891	NA
"162"	"Amsinckia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.39	NA	NA	NA	NA	23.75	NA
"163"	"Amyema"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.04750779457143	NA
"164"	"Amygdalus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.898894154	NA
"165"	"Amyxa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.204081632	NA
"166"	"Anabasis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.076875	NA	NA	NA	1.15	NA	NA
"167"	"Anacamptis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49.8057142857143	NA
"168"	"Anacardeaceae"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.88854704125	NA	NA	NA	NA	NA	NA
"169"	"Anacardium"	NA	NA	NA	NA	NA	NA	NA	NA	1.510333253	1.56155439725	NA	NA	NA	NA	14.4572902449865	NA
"170"	"Anacyclus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.844973544	NA
"171"	"Anadenanthera"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.915	NA	NA	NA	NA	NA	NA
