"obsID"	"traitcolnum"	"traitname"	"invCWM"	"natCWM"	"numspp"	"numinfospp"	"info"
"182"	"12"	"6"	"MeasID_8"	NA	NA	2	"0"	NA
"183"	"12"	"7"	"MeasID_9"	NA	NA	2	"0"	NA
"184"	"12"	"8"	"MeasID_10"	15.07	0	2	"1"	NA
"185"	"12"	"9"	"MeasID_11"	1.084895982	0.1952881538	2	"2"	NA
"186"	"12"	"10"	"MeasID_12"	2.20193502495	0.317575088973334	2	"2"	NA
"187"	"12"	"11"	"MeasID_13"	NA	NA	2	"0"	NA
"188"	"12"	"12"	"MeasID_14"	1.03257266666667	0.126666666666667	2	"2"	NA
"189"	"12"	"13"	"MeasID_15"	NA	NA	2	"0"	NA
"190"	"12"	"14"	"MeasID_16"	NA	NA	2	"0"	NA
"191"	"12"	"15"	"MeasID_17"	28.3890341946364	2.78	2	"2"	NA
"192"	"12"	"16"	"MeasID_18"	NA	NA	2	"0"	NA
"193"	"13"	"1"	"MeasID_3"	8.9645413655	17.929082731	2	"1"	NA
"194"	"13"	"2"	"MeasID_4"	44.615	41.99	2	"2"	NA
"195"	"13"	"3"	"MeasID_5"	NA	NA	2	"0"	NA
"196"	"13"	"4"	"MeasID_6"	NA	NA	2	"0"	NA
"197"	"13"	"5"	"MeasID_7"	NA	NA	2	"0"	NA
"198"	"13"	"6"	"MeasID_8"	5.14	4.91	2	"2"	NA
"199"	"13"	"7"	"MeasID_9"	NA	NA	2	"0"	NA
"200"	"13"	"8"	"MeasID_10"	10.16	10.3	2	"2"	NA
"201"	"13"	"9"	"MeasID_11"	0.70588369275	1.4117673855	2	"1"	NA
"202"	"13"	"10"	"MeasID_12"	2.839161864125	2.78832372825	2	"2"	NA
"203"	"13"	"11"	"MeasID_13"	0.05	0.05	2	"2"	NA
"204"	"13"	"12"	"MeasID_14"	NA	NA	2	"0"	NA
"205"	"13"	"13"	"MeasID_15"	NA	NA	2	"0"	NA
"206"	"13"	"14"	"MeasID_16"	0.0788	0.1576	2	"1"	NA
"207"	"13"	"15"	"MeasID_17"	18.6381001144444	22.4529835622222	2	"2"	NA
"208"	"13"	"16"	"MeasID_18"	14.9	29.8	2	"1"	NA
"209"	"14"	"1"	"MeasID_3"	8.60703755314285	17.2140751062857	2	"1"	NA
"210"	"14"	"2"	"MeasID_4"	41.025	52.64	2	"2"	NA
"211"	"14"	"3"	"MeasID_5"	NA	NA	2	"0"	NA
"212"	"14"	"4"	"MeasID_6"	NA	NA	2	"0"	NA
"213"	"14"	"5"	"MeasID_7"	NA	NA	2	"0"	NA
"214"	"14"	"6"	"MeasID_8"	10.185	6.03	2	"2"	NA
"215"	"14"	"7"	"MeasID_9"	NA	NA	2	"0"	NA
"216"	"14"	"8"	"MeasID_10"	16.655	12.24	2	"2"	NA
"217"	"14"	"9"	"MeasID_11"	1.90758838084444	1.90374212688889	2	"2"	NA
"218"	"14"	"10"	"MeasID_12"	3.10516531508636	2.68283063017273	2	"2"	NA
"219"	"14"	"11"	"MeasID_13"	0.06	0.05	2	"2"	NA
"220"	"14"	"12"	"MeasID_14"	NA	NA	2	"0"	NA
"221"	"14"	"13"	"MeasID_15"	NA	NA	2	"0"	NA
"222"	"14"	"14"	"MeasID_16"	0.074475	0.14895	2	"1"	NA
"223"	"14"	"15"	"MeasID_17"	17.7447080891722	15.8645467886522	2	"2"	NA
"224"	"14"	"16"	"MeasID_18"	8.3	16.6	2	"1"	NA
"225"	"15"	"1"	"MeasID_3"	23.594169440261	31.4588925870147	4	"3"	NA
"226"	"15"	"2"	"MeasID_4"	71.855	15.0366666666667	4	"2"	NA
"227"	"15"	"3"	"MeasID_5"	NA	NA	4	"0"	NA
"228"	"15"	"4"	"MeasID_6"	NA	NA	4	"0"	NA
"229"	"15"	"5"	"MeasID_7"	NA	NA	4	"0"	NA
"230"	"15"	"6"	"MeasID_8"	NA	NA	4	"0"	NA
"231"	"15"	"7"	"MeasID_9"	NA	NA	4	"0"	NA
"232"	"15"	"8"	"MeasID_10"	NA	NA	4	"0"	NA
"233"	"15"	"9"	"MeasID_11"	1.36261803034926	1.81682404046569	4	"3"	NA
"234"	"15"	"10"	"MeasID_12"	1.64253045620715	2.1900406082762	4	"3"	NA
"235"	"15"	"11"	"MeasID_13"	1.31303847222222	0.710717962962963	4	"4"	NA
"236"	"15"	"12"	"MeasID_14"	NA	NA	4	"0"	NA
"237"	"15"	"13"	"MeasID_15"	0.913597112607245	1.21812948347633	4	"2"	NA
"238"	"15"	"14"	"MeasID_16"	NA	NA	4	"0"	NA
"239"	"15"	"15"	"MeasID_17"	14.8296681260423	19.7728908347231	4	"3"	NA
"240"	"15"	"16"	"MeasID_18"	5.075	6.76666666666667	4	"1"	NA
"241"	"16"	"1"	"MeasID_3"	20.6880600080222	25.8600750100277	5	"4"	NA
"242"	"16"	"2"	"MeasID_4"	48.612508940335	60.7656361754188	5	"4"	NA
"243"	"16"	"3"	"MeasID_5"	20.391	25.48875	5	"1"	NA
"244"	"16"	"4"	"MeasID_6"	NA	NA	5	"0"	NA
"245"	"16"	"5"	"MeasID_7"	16.7767	20.970875	5	"1"	NA
"246"	"16"	"6"	"MeasID_8"	NA	NA	5	"0"	NA
"247"	"16"	"7"	"MeasID_9"	NA	NA	5	"0"	NA
"248"	"16"	"8"	"MeasID_10"	NA	NA	5	"0"	NA
"249"	"16"	"9"	"MeasID_11"	1.22411206477469	1.53014008096836	5	"4"	NA
"250"	"16"	"10"	"MeasID_12"	2.99195949073292	2.12994936341615	5	"5"	NA
"251"	"16"	"11"	"MeasID_13"	0.380895	0.47611875	5	"2"	NA
"252"	"16"	"12"	"MeasID_14"	1.0600090086624	1.325011260828	5	"4"	NA
"253"	"16"	"13"	"MeasID_15"	1.288	0	5	"1"	NA
"254"	"16"	"14"	"MeasID_16"	0.371037466196819	0.463796832746024	5	"4"	NA
"255"	"16"	"15"	"MeasID_17"	14.4148975352559	18.0186219190699	5	"4"	NA
"256"	"16"	"16"	"MeasID_18"	12.2938461538462	15.3673076923077	5	"4"	NA
"257"	"17"	"1"	"MeasID_3"	21.6734248733518	26.0081098480222	6	"5"	NA
"258"	"17"	"2"	"MeasID_4"	40.5104241169459	48.612508940335	6	"4"	NA
"259"	"17"	"3"	"MeasID_5"	16.9925	20.391	6	"1"	NA
"260"	"17"	"4"	"MeasID_6"	NA	NA	6	"0"	NA
"261"	"17"	"5"	"MeasID_7"	13.9805833333333	16.7767	6	"1"	NA
"262"	"17"	"6"	"MeasID_8"	NA	NA	6	"0"	NA
"263"	"17"	"7"	"MeasID_9"	NA	NA	6	"0"	NA
"264"	"17"	"8"	"MeasID_10"	NA	NA	6	"0"	NA
"265"	"17"	"9"	"MeasID_11"	1.23897619000342	1.4867714280041	6	"5"	NA
"266"	"17"	"10"	"MeasID_12"	1.69129957561076	1.85195949073292	6	"6"	NA
"267"	"17"	"11"	"MeasID_13"	0.428598611111111	0.514318333333333	6	"3"	NA
"268"	"17"	"12"	"MeasID_14"	0.883340840551998	1.0600090086624	6	"4"	NA
"269"	"17"	"13"	"MeasID_15"	0.271333333333333	0.148	6	"2"	NA
"270"	"17"	"14"	"MeasID_16"	0.412086971830682	0.494504366196819	6	"5"	NA
"271"	"17"	"15"	"MeasID_17"	14.3082406622306	17.1698887946767	6	"5"	NA
"272"	"17"	"16"	"MeasID_18"	12.2639194139194	14.7167032967033	6	"5"	NA
"273"	"18"	"1"	"MeasID_3"	20.6880600080222	25.8600750100277	5	"4"	NA
"274"	"18"	"2"	"MeasID_4"	48.612508940335	60.7656361754188	5	"4"	NA
"275"	"18"	"3"	"MeasID_5"	20.391	25.48875	5	"1"	NA
"276"	"18"	"4"	"MeasID_6"	NA	NA	5	"0"	NA
"277"	"18"	"5"	"MeasID_7"	16.7767	20.970875	5	"1"	NA
