"obsID"	"articleID"	"author"	"year"	"location"	"ecosystemName"	"studyType"	"ecosystemID"	"multimeas"	"measurement"	"meanC"	"meanT"	"unit"
10	8	"Belnap et al."	2005	"UT USA"	"semi-arid desert"	"fs"	"g"	NA	"biom"	NA	NA	NA
10	8	"Belnap et al."	2005	"UT USA"	"semi-arid desert"	"fs"	"g"	NA	"litterbiom"	NA	NA	NA
10	8	"Belnap et al."	2005	"UT USA"	"semi-arid desert"	"fs"	"g"	NA	"percN"	NA	NA	NA
10	8	"Belnap et al."	2005	"UT USA"	"semi-arid desert"	"fs"	"g"	NA	"cn"	NA	NA	NA
10	8	"Belnap et al."	2005	"UT USA"	"semi-arid desert"	"fs"	"g"	NA	"litterpercN"	NA	NA	NA
10	8	"Belnap et al."	2005	"UT USA"	"semi-arid desert"	"fs"	"g"	NA	"littercn"	NA	NA	NA
11	9	"Booth et al."	2003	"UT USA"	"semi-arid desert"	"fs"	"g"	"Invader=Bromus, Native=Artemisia"	"nh"	1.65	2.25	"mg/kg"
11	9	"Booth et al."	2003	"UT USA"	"semi-arid desert"	"fs"	"g"	"Invader=Bromus, Native=Artemisia"	"no"	0.54	0.3	"mg/kg"
11	9	"Booth et al."	2003	"UT USA"	"semi-arid desert"	"fs"	"g"	"Invader=Bromus, Native=Artemisia"	"toti"	2.19	2.55	"mg/kg"
11	9	"Booth et al."	2003	"UT USA"	"semi-arid desert"	"fs"	"g"	"Invader=Bromus, Native=Artemisia"	"ammonif"	0.65	1.34	"mg/kg*day"
11	9	"Booth et al."	2003	"UT USA"	"semi-arid desert"	"fs"	"g"	"Invader=Bromus, Native=Artemisia"	"nitrif"	0.34	0.49	"mg/kg*day"
